                                          title                                               price                  colors
91                 Jordan ADG 4 x Eastside Golf                                                $205    Available in 1 Color
92                  Nike Force Zoom Trout 9 Pro                                                 $90   Available in 7 Colors
93          Nike Alpha Huarache Elite 4 Low MCS                                                 $95   Available in 6 Colors
94            Nike Mercurial Superfly 9 Academy                                                 $95   Available in 4 Colors
95                              Nike Air Max 97                                                $185   Available in 9 Colors
96     Nike Mercurial Superfly 9 Academy By You                                                $130   Available in 6 Colors
97                        Air Jordan 13 "Wheat"                                                $200    Available in 1 Color
98                        Nike Pegasus Turbo SE   current price $89.97, original price $150 40% off   Available in 6 Colors
99                       Nike Pegasus 39 Shield                                                $145   Available in 4 Colors
100               Nike Dunk Low Unlocked By You                                                $160   Available in 7 Colors
101      Nike Pegasus 40 (NFL Los Angeles Rams)                                              $82.97  Available in 15 Colors
102                           Nike Air Max Plus                                                $190   Available in 9 Colors
103                         Nike Full Force Low                                                 $95   Available in 5 Colors
104                         Nike Flex Control 4            current price $64.97, original price $70   Available in 3 Colors
105                         Air Jordan 1 Mid SE                                                $135   Available in 5 Colors
106                 Nike Air Force 1 Low By You                                                $135   Available in 8 Colors
107                  Nike Air Max Flyknit Racer   current price $89.97, original price $160 43% off   Available in 2 Colors
108           Nike Phantom GX Academy MG By You                                                $125   Available in 6 Colors
109             Nike Air Max 95 Unlocked By You                                                $215   Available in 7 Colors
110                                  Nike Vista    current price $38.97, original price $60 35% off    Available in 1 Color
111                                    Ja 1 ASW                                                $140    Available in 1 Color
112                           Jordan Max Aura 5                                                $130   Available in 8 Colors
113                        Nike Air Force 1 '07  current price $114.97, original price $135 14% off    Available in 1 Color
114                Nike Mercurial Vapor 15 Club                                                 $65   Available in 2 Colors
115                           Nike Rival Sprint                                                 $75   Available in 6 Colors
116                       Nike Air Zoom Victory                                                $190   Available in 3 Colors
117                                 Nike SFB B1                                                $165    Available in 1 Color
118                           Nike Court Legacy                                                 $70   Available in 3 Colors
119                              Nike Initiator                                                 $75   Available in 3 Colors                                          title                                               price                  colors
0                                Nike Air Max 1                                                $140   Available in 8 Colors
1                           Nike Dunk Low Retro                                                $115   Available in 2 Colors
2                        Nike Air Max 95 By You                                                $190   Available in 4 Colors
3                         Nike Phantom GX Elite                                                $250   Available in 3 Colors
4             Nike Court Vision Mid Next Nature                                                 $90   Available in 6 Colors
5     Nike Zoom Mercurial Vapor 15 Elite XXV FG  current price $155.97, original price $250 37% off   Available in 7 Colors
6                           Nike Infinity Pro 2                                                $120   Available in 2 Colors
7                             Nike Revolution 7                                                 $70  Available in 11 Colors
8                            Air Jordan 1 Low G                                                $150   Available in 4 Colors
9                             Nike SB React Leo                                                 $95   Available in 7 Colors
10                          Roshe G Next Nature                                                 $90  Available in 12 Colors
11                   Nike Zoom Superfly Elite 2                                                $160   Available in 3 Colors
12                             Nike Air Max 270                                                $160   Available in 8 Colors
13                          Air Jordan I High G  current price $153.97, original price $180 14% off   Available in 5 Colors
14                                  Alabama A&M    current price $28.97, original price $40 27% off    Available in 1 Color
15     Nike Gripknit Phantom GX Elite FG By You                                                $280   Available in 6 Colors
16                            Nike Revolution 6                                                 $70   Available in 4 Colors
17                  Nike Pegasus Trail 4 By You                                                $170   Available in 5 Colors
18           Nike Phantom Luna 2 Academy By You                                                $125   Available in 6 Colors
19                            Nike Invincible 3  current price $151.97, original price $190 20% off  Available in 17 Colors
20              Air Jordan 13 Retro "Blue Grey"                                                $200    Available in 1 Color
21                             Nike E-Series AD                                                 $75   Available in 7 Colors
22                           Nike Air Zoom TR 1                                                $130   Available in 8 Colors
23                                    Nike Fury                                                 $90   Available in 6 Colors
24              Nike Mercurial Superfly 9 Elite                                                $285   Available in 6 Colors
25                          Nike Phantom GX Pro          current price $144.97, original price $160   Available in 3 Colors
26       Nike Mercurial Superfly 9 Elite By You                                                $305   Available in 6 Colors
27                                  Nike P-6000                                                $110   Available in 5 Colors
28                     Nike Air Flight Huarache                                                $125   Available in 4 Colors
29                       Giannis Freak 5 (Team)  current price $105.97, original price $140 24% off   Available in 5 Colors
30                  NikeCourt Air Zoom Vapor 11                                                $170   Available in 5 Colors
31              Nike Mercurial Vapor 15 Academy                                                 $90   Available in 7 Colors
32               Nike Huarache 9 Varsity LAX SE                                                 $95    Available in 1 Color
33    Nike Vapor 15 Elite Mercurial Dream Speed          current price $243.97, original price $270   Available in 3 Colors
34                           Nike Air Trainer 1  current price $111.97, original price $130 13% off  Available in 11 Colors
35                      Nike SB Zoom Blazer Mid                                                 $90   Available in 8 Colors
36                            Nike SB Vertebrae                                                 $85   Available in 3 Colors
37                          Nike Downshifter 13                                                 $75   Available in 8 Colors
38                     Air Jordan 1 Zoom CMFT 2                                                $150   Available in 5 Colors
39              Nike Alpha Huarache Elite 4 Mid                                                $100   Available in 8 Colors
40            Nike Mercurial Superfly 9 Academy                                                $100   Available in 5 Colors
41                           Nike Victory Pro 3                                                $130   Available in 3 Colors
42                              Nike Waffle Nav                                                 $80   Available in 3 Colors
43                                         KD16                                                $160   Available in 6 Colors
44                Nike Infinity Ace Next Nature   current price $74.97, original price $110 31% off   Available in 6 Colors
45                      Nike Air Alpha Force 88                                                $130   Available in 2 Colors
46                         Nike In-Season TR 13    current price $67.97, original price $85 20% off   Available in 4 Colors
47                  Nike Dunk Low Retro Premium                                                $125   Available in 2 Colors
48                             Nike ACG Lowcate                                                $110   Available in 8 Colors
49                 Jordan ADG 4 x Eastside Golf                                                $205    Available in 1 Color
50                  Nike Force Zoom Trout 9 Pro                                                 $90   Available in 7 Colors
51          Nike Alpha Huarache Elite 4 Low MCS                                                 $95   Available in 6 Colors
52            Nike Mercurial Superfly 9 Academy                                                 $95   Available in 4 Colors
53                              Nike Air Max 97                                                $185   Available in 9 Colors
54     Nike Mercurial Superfly 9 Academy By You                                                $130   Available in 6 Colors
55                        Air Jordan 13 "Wheat"                                                $200    Available in 1 Color
56                        Nike Pegasus Turbo SE   current price $89.97, original price $150 40% off   Available in 6 Colors
57                       Nike Pegasus 39 Shield  current price $100.97, original price $145 30% off   Available in 4 Colors
58                Nike Dunk Low Unlocked By You                                                $160   Available in 7 Colors
59                                   LeBron XXI                                                $200   Available in 8 Colors
60       Nike Pegasus 40 (NFL Los Angeles Rams)                                              $82.97  Available in 15 Colors
61                            Nike Air Max Plus  current price $129.97, original price $185 29% off   Available in 9 Colors
62                                   Ja 1 "Fly"  current price $102.97, original price $120 14% off   Available in 5 Colors
63                          Nike Full Force Low                                                 $95   Available in 5 Colors
64                          Nike Flex Control 4            current price $64.97, original price $70   Available in 3 Colors
65                          Air Jordan 1 Mid SE                                                $135   Available in 5 Colors
66                  Nike Air Force 1 Low By You                                                $135   Available in 8 Colors
67                   Nike Air Max Flyknit Racer   current price $89.97, original price $160 43% off   Available in 2 Colors
68            Nike Phantom GX Academy MG By You                                                $125   Available in 6 Colors
69              Nike Air Max 95 Unlocked By You                                                $215   Available in 7 Colors
70                                   Nike Vista    current price $38.97, original price $60 35% off    Available in 1 Color
71                                     Ja 1 ASW                                                $140    Available in 1 Color
72                             Nike ACG Lowcate                                                $110   Available in 8 Colors
73                 Jordan ADG 4 x Eastside Golf                                                $205    Available in 1 Color
74                  Nike Force Zoom Trout 9 Pro                                                 $90   Available in 7 Colors
75          Nike Alpha Huarache Elite 4 Low MCS                                                 $95   Available in 6 Colors
76            Nike Mercurial Superfly 9 Academy                                                 $95   Available in 4 Colors
77                              Nike Air Max 97                                                $185   Available in 9 Colors
78     Nike Mercurial Superfly 9 Academy By You                                                $130   Available in 6 Colors
79                        Air Jordan 13 "Wheat"                                                $200    Available in 1 Color
80                        Nike Pegasus Turbo SE   current price $89.97, original price $150 40% off   Available in 6 Colors
81                       Nike Pegasus 39 Shield  current price $100.97, original price $145 30% off   Available in 4 Colors
82                Nike Dunk Low Unlocked By You                                                $160   Available in 7 Colors
83                                   LeBron XXI                                                $200   Available in 8 Colors
84       Nike Pegasus 40 (NFL Los Angeles Rams)                                              $82.97  Available in 15 Colors
85                            Nike Air Max Plus  current price $129.97, original price $185 29% off   Available in 9 Colors
86                                   Ja 1 "Fly"  current price $102.97, original price $120 14% off   Available in 5 Colors
